row_id,v2_common_hotel_id,city_id,slug,name,run_id,reason,detail,last_attempted_at
15,448,9658,oyo-160-lumbini-dream-garden-guest-house-llc,oyo 160 lumbini dream garden guest house llc,20260817-230047,no_agoda_match,no candidate above name threshold,2026-08-17T23:35:08
16,457,9658,dubai-creek-club-villas,dubai creek club villas,20260817-230047,no_agoda_match,no candidate above name threshold,2026-08-17T23:39:57
17,607,1280,ja-ocean-view-hotel,ja ocean view hotel,20260817-230047,no_agoda_match,rejected 'OKINAWA PRINCE HOTEL OCEAN VIEW GINOWAN' name=91% strict=55% dist=7172.49km same_city=False,2026-08-17T23:42:16
18,614,1280,coral-dubai-deira-hotel-406,coral dubai deira hotel,20260817-230047,agoda_unreachable,suggest failed: HTTP 502 ?,2026-08-17T23:50:17
19,615,1280,marriott-hotel-al-jaddaf-dubai,marriott hotel al jaddaf dubai,20260817-230047,agoda_unreachable,suggest failed: HTTP 502 ?,2026-08-17T23:53:26
20,616,1280,the-apartments-dubai-world-trade-centre,the apartments dubai world trade centre,20260817-230047,agoda_unreachable,suggest failed: HTTP 502 ?,2026-08-18T00:03:54
21,617,1280,al-raya-hotel-apartments,al raya hotel apartments,20260817-230047,no_agoda_match,rejected 'Al Raya Apartments' name=100% strict=86% dist=2557.31km same_city=False,2026-08-18T00:04:13
22,618,1280,al-waleed-palace-hotel-apartments-oud-metha-799,al waleed palace hotel apartments oud metha,20260817-230047,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T00:04:18
23,619,1280,flora-al-souq-hotel-928,flora al souq hotel,20260817-230047,no_agoda_match,rejected 'Flora Al Barsha Hotel at the Mall' name=85% strict=58% dist=20.18km same_city=True,2026-08-18T00:04:25
24,620,1280,pride-hotel-apartments-624,pride hotel apartments,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:04:57
25,623,1280,jood-palace-hotel-dubai,jood palace hotel dubai,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:06:15
26,628,1280,al-muraqabat-plaza-hotel-apartments-517,al muraqabat plaza hotel apartments,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:09:20
27,629,1280,lavender-hotel-hotel-apartments-al-nahda,lavender hotel & hotel apartments al nahda,20260817-230047,no_agoda_match,"rejected 'Lavender Apartments': individually-listed accommodation (Apartment/Flat), not the hotel",2026-08-18T00:09:26
28,632,1280,claridge-hotel-dubai-945,claridge hotel dubai,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:09:55
29,634,1280,grand-mayfair-hotel,grand mayfair hotel,20260817-230047,no_agoda_match,rejected 'Hotel Grand Mayfair' name=100% strict=100% dist=3839.09km same_city=False,2026-08-18T00:10:24
30,638,1280,copthorne-lakeview-executive-apartments-dubai-green-community,"copthorne lakeview executive apartments dubai, green community",20260817-230047,no_agoda_match,rejected 'Copthorne Hotel and Apartments Queenstown Lakeview' name=73% strict=58% dist=13752.29km same_city=False,2026-08-18T00:12:29
31,642,1280,pullman-dubai-creek-city-centre-427,pullman dubai creek city centre,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:13:24
32,643,1280,emirates-concorde-hotel-apartments,emirates concorde hotel & apartments,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:13:55
33,646,1280,doubletree-by-hilton-hotel-and-residences-dubai-al-barsha-632,doubletree by hilton hotel and residences dubai al barsha,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T00:17:08
34,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-001905,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T00:20:26
35,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-120353,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T12:06:29
36,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260818-120353,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T12:10:48
37,412,9658,palm-beach-hotel,palm beach hotel,20260818-120353,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-18T12:11:28
38,414,9658,imperial-suites-hotel,imperial suites hotel,20260818-120353,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-18T12:11:58
39,417,9658,rush-inn-hotel,rush inn hotel,20260818-120353,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T12:13:39
40,419,9658,pearl-residence-hotel-apartments,pearl residence hotel apartments,20260818-120353,no_agoda_match,rejected 'North Pearl Residence Apartments' name=91% strict=91% dist=2258.11km same_city=False,2026-08-18T12:14:18
