id,mime_type,attachment_url,attachment_size,attachable_type,attachable_id,category,created_at,updated_at
3808872,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/aba794bde194f7a6c61e326548d7e1a8.jpg,MED,App\Models\Hotels\Room,791,room-image,2026-08-11 11:36:52,2026-08-11 11:36:52
3808873,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/29ce35ce4e2e2351e43d35fa03b21f05.jpg,MED,App\Models\Hotels\Room,791,room-image,2026-08-11 11:36:52,2026-08-11 11:36:52
3808874,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/aa97c346b28ecb2d6a91e69bfd1bd1dd.jpg,MED,App\Models\Hotels\Room,791,room-image,2026-08-11 11:36:52,2026-08-11 11:36:52
3808875,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/ec57a0e4c1087d03bc18de8009208ce0.jpg,MED,App\Models\Hotels\Room,794,room-image,2026-08-11 11:36:53,2026-08-11 11:36:53
3808876,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/817838d512f0c29ec03ba2a70f0216b7.jpg,MED,App\Models\Hotels\Room,794,room-image,2026-08-11 11:36:53,2026-08-11 11:36:53
3808877,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b7032384ea0ed9a552636db24acae30f.jpg,MED,App\Models\Hotels\Room,794,room-image,2026-08-11 11:36:53,2026-08-11 11:36:53
3808878,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/aa97c346b28ecb2d6a91e69bfd1bd1dd.jpg,MED,App\Models\Hotels\Room,794,room-image,2026-08-11 11:36:53,2026-08-11 11:36:53
3808879,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/3454ca31d74207ca333f4e007a9c8a2f.jpg,MED,App\Models\Hotels\Room,794,room-image,2026-08-11 11:36:53,2026-08-11 11:36:53
3808903,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fe35a2f93fa8aec31481f4fbea7a0bfd.jpg,MED,App\Models\Hotels\Room,852,room-image,2026-08-12 11:26:58,2026-08-12 11:26:58
3808904,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f7cfeb277c3451d62de18092728f69e6.jpg,MED,App\Models\Hotels\Room,852,room-image,2026-08-12 11:26:58,2026-08-12 11:26:58
